id,latitude,longitude,name,host_id,host_name,neighbourhood,room_type,price,minimum_nights,number_of_reviews,last_review,calculated_host_listings_count,availability_365,reviews_per_month
1043529856133103915,52.35660204136939,4.876533868269828,Luxurious Amsterdam Appartement,10775651,Romee,"Amsterdam, Noord-Holland, Netherlands",Entire home/apt,300.0,3,6,2024-09-16,1,352,0.55
1043564085900406281,52.37618,4.84493,King Size Bed one bedroom studio,305352222,Yassein,"Amsterdam, Noord-Holland, Netherlands",Entire home/apt,150.0,15,0,2024-10-20,1,89,1.026822858420935
1043587841183747156,52.35943,4.86242,Christmas in magical Amsterdam,10372922,Andrea,"Amsterdam, Noord-Holland, Netherlands",Entire home/apt,375.0,6,0,2024-10-20,2,22,1.026822858420935
1043652018799866827,52.360662134159774,4.8763541535685855,Spacious home on the Vondelpark,1831512,Vanya,"Amsterdam, Noord-Holland, Netherlands",Entire home/apt,200.0,2,3,2024-08-18,1,0,0.26
1044044086325979321,52.390789768708906,4.87937339920752,De Spits,26376151,Matthijs,"Amsterdam, Noord-Holland, Netherlands",Entire home/apt,200.0,4,1,2024-04-28,1,0,0.13
1044095219134842542,52.3722565,4.8974442,Private studio center Amsterdam,522727959,Mino,"Amsterdam, Noord-Holland, Netherlands",Private room,100.0,1,17,2024-10-27,2,43,1.86
1044142989098795241,52.3697386,4.8683133,Canal View Apartment in Oud West,13290994,Güngör,"Amsterdam, Noord-Holland, Netherlands",Entire home/apt,232.0,3,3,2024-04-01,1,28,0.27
1044176430842747092,52.351828810799454,4.916217611632369,Cosy central apt with homeoffice,550512477,Chandan,"Amsterdam, Noord-Holland, Netherlands",Entire home/apt,375.0,1,0,2024-10-20,1,269,1.026822858420935
1044235497691667214,52.37653417567861,4.87370938293699,Beautiful and spacious apartment,1942203,Jena,"Amsterdam, Noord-Holland, Netherlands",Entire home/apt,200.0,10,0,2024-10-20,1,14,1.026822858420935
1044272760853389466,52.373136870856285,4.880350681382486,Hidden Gem Studio in De Jordaan,479620264,Alexander,"Amsterdam, Noord-Holland, Netherlands",Entire home/apt,331.0,3,11,2024-09-29,2,351,0.94
1044704038261398758,52.36566394563269,4.877329970451227,Central artsy house with jaccuzi and bikes,57907555,Victor,"Amsterdam, Noord-Holland, Netherlands",Private room,109.0,1,51,2024-12-02,1,39,6.05
1044729914796765284,52.3571751,4.9190553,Appartement Oosterpark,15573784,Jochem,"Amsterdam, Noord-Holland, Netherlands",Entire home/apt,240.0,2,3,2024-09-29,1,116,0.46
1044904509753399104,52.3689528,4.8791707,Perfectly located & pretty loft,482483666,Fanna,"Amsterdam, Noord-Holland, Netherlands",Entire home/apt,200.0,1,2,2024-04-22,1,54,0.24
1044926927390637022,52.37202121286534,4.886802098849934,Luxury water-side flat in the Canal District,21863140,Denise,"Amsterdam, Noord-Holland, Netherlands",Entire home/apt,200.0,1,7,2024-09-29,1,322,0.61
1045433169236018655,52.34640061440055,4.888250390361384,Fab 2 bedroom with a huge garden,550777847,Jesse,"Amsterdam, Noord-Holland, Netherlands",Entire home/apt,200.0,4,1,2024-07-05,1,4,0.19
1046232312394640384,52.34988,4.84556,Cute 1 bedroom apartment in lovely neighborhood,550945542,Elke,"Amsterdam, Noord-Holland, Netherlands",Entire home/apt,206.0,2,0,2024-10-20,1,28,1.026822858420935
1046295694453777232,52.3815466,4.871779,Gezellig appartement in West (loopafstand Jordaan),30088469,Barbara,"Amsterdam, Noord-Holland, Netherlands",Entire home/apt,215.0,3,7,2024-10-22,1,267,0.82
1046434388260792439,52.4142737,4.880701,Luxurious family home,10508004,Suzan,"Amsterdam, Noord-Holland, Netherlands",Entire home/apt,200.0,5,0,2024-10-20,1,0,1.026822858420935
1046978900702178000,52.37997578600925,4.8834814920654335,Beloved Lindengracht Duplex,17231451,M.G.,"Amsterdam, Noord-Holland, Netherlands",Entire home/apt,200.0,2,8,2024-11-25,1,0,0.71
1047164278095428559,52.42510837725077,4.995822227980142,Gastenverblijf de Volgermeer,283084793,Lex,"Amsterdam, Noord-Holland, Netherlands",Entire home/apt,129.0,2,29,2024-11-11,1,78,3.77
1047202044033614635,52.3430518,4.906960199999999,Cozy apartment for christmas Amsterdam 5p.,528741726,Nicolaas,"Amsterdam, Noord-Holland, Netherlands",Entire home/apt,340.0,2,5,2024-08-20,1,9,0.44
1047634949162040987,52.375811,4.8938998,Cosy | Hidden | Private Gem near Dam Square,46691672,Eva & Kobe,"Amsterdam, Noord-Holland, Netherlands",Private room,112.0,3,33,2024-12-01,5,356,3.22
1047717339947210974,52.37283,4.86503,Fijn appartement - rustige buurt,110587040,Philippe,"Amsterdam, Noord-Holland, Netherlands",Entire home/apt,180.0,4,1,2024-01-01,1,245,0.09
1047966273546325665,52.356742346415,4.889190832364424,Spacious apartment on top floor - rare opportunity,551273122,J.,"Amsterdam, Noord-Holland, Netherlands",Entire home/apt,200.0,6,0,2024-10-20,1,0,1.026822858420935
1048479577090340582,52.352289,4.893502,The Pijp luxury Suite with own entrance,32980375,Anne-Wies,"Amsterdam, Noord-Holland, Netherlands",Private room,116.0,3,19,2024-11-01,1,16,2.23
1048570918608591670,52.375811,4.8938998,Cosy | Authentic | Private Gem @ Dam Square,46691672,Eva & Kobe,"Amsterdam, Noord-Holland, Netherlands",Private room,147.0,3,38,2024-11-28,5,348,3.79
1048574767364360840,52.36687,4.85293,Beautiful first floor apartment in Amsterdam,207757434,Jasper,"Amsterdam, Noord-Holland, Netherlands",Entire home/apt,269.0,2,3,2024-10-27,1,16,1.29
1048588964202304442,52.35636541489837,4.93763473411805,The pearl of de Watergraafsmeer,490660666,Milou,"Amsterdam, Noord-Holland, Netherlands",Entire home/apt,250.0,2,1,2024-04-27,1,269,0.13
1048652247479404225,52.36513,4.86666,Luxe appartement Amsterdam 2 p.,205602543,Peter,"Amsterdam, Noord-Holland, Netherlands",Entire home/apt,160.0,1,1,2024-01-02,1,13,0.09
1049175604545880533,52.36973338453483,4.8723893722643625,Spacious and luxurious canal house appartment,132926431,Fien,"Amsterdam, Noord-Holland, Netherlands",Entire home/apt,500.0,4,3,2024-07-10,1,112,0.49
1049205067299625114,52.34839575095239,4.856145456433296,Spacious 2-Bedroom in the Heart of Oud-Zuid,3859737,Yuan,"Amsterdam, Noord-Holland, Netherlands",Entire home/apt,295.0,1,0,2024-10-20,1,48,1.026822858420935
1049395768769831806,52.36802822662965,4.864425969060798,Studio Oud-West Best Neighbourhood 2/3 persons,551571569,Silvia,"Amsterdam, Noord-Holland, Netherlands",Entire home/apt,200.0,2,10,2024-08-02,1,0,0.88
1049440441397982037,52.37119069987372,4.850486492616699,Modern ground floor flat with garden & 1 bedroom,6338146,Daan,"Amsterdam, Noord-Holland, Netherlands",Entire home/apt,260.0,2,1,2024-10-21,1,42,0.63
1049791307434904542,52.35200657599608,4.901058034158587,Beautiful Cosy Apartment For Two,551648789,Stefano,"Amsterdam, Noord-Holland, Netherlands",Entire home/apt,240.0,1,5,2024-09-01,1,13,0.44
1049797960543259551,52.4100969,4.9012198,Big family house on the water with romantic garden,2167559,Noortje,"Amsterdam, Noord-Holland, Netherlands",Entire home/apt,350.0,3,3,2024-08-12,1,7,0.7
1049848699575873371,52.36844,4.86166,Sanctuary in the city,19246777,Nina,"Amsterdam, Noord-Holland, Netherlands",Entire home/apt,200.0,1,4,2024-02-19,1,0,0.39
1050109192653551010,52.341372271658365,4.923973479867963,Room near city centre,421225352,Geoffrey,"Amsterdam, Noord-Holland, Netherlands",Private room,80.0,2,6,2024-11-23,1,64,1.59
1050111500516083139,52.3426,4.89817,House with sunny garden,37860458,Coen,"Amsterdam, Noord-Holland, Netherlands",Entire home/apt,309.0,2,4,2024-09-29,1,126,0.79
1050701946723049124,52.36052029632503,4.923409412796404,Luxurious home (garden + patio),118311210,Siddhant,"Amsterdam, Noord-Holland, Netherlands",Entire home/apt,335.0,4,0,2024-10-20,1,286,1.026822858420935
1051115783423416025,52.35976308306485,4.857134388360604,Canal View Apartment Rooftop,315289580,Luuk,"Amsterdam, Noord-Holland, Netherlands",Entire home/apt,200.0,3,0,2024-10-20,1,0,1.026822858420935
1051217357420868195,52.36592008364305,4.863023371688022,Net appartement op toplocatie,71486319,Willem,"Amsterdam, Noord-Holland, Netherlands",Entire home/apt,123.0,15,1,2024-06-13,1,23,0.17
1051239524780091691,52.36109,4.86263,Chic Apartment with garden. Vondelpark 500mtrs,223165633,Agostina,"Amsterdam, Noord-Holland, Netherlands",Entire home/apt,425.0,1,7,2024-08-31,1,179,0.83
1051309275590708317,52.380752211446016,4.87332774392121,Appartement bij Westerpark,353203166,Thomas,"Amsterdam, Noord-Holland, Netherlands",Entire home/apt,281.0,3,5,2024-10-20,1,268,0.96
1051388861391509083,52.36359409249511,4.935740333168647,Eigenzinnig en sfeervol Appartement,72879264,Milan,"Amsterdam, Noord-Holland, Netherlands",Entire home/apt,98.0,3,5,2024-08-14,1,12,0.52
1052122288124102700,52.37796,4.83582,gezellig appartement (48m2),118776282,Tristan,"Amsterdam, Noord-Holland, Netherlands",Entire home/apt,200.0,3,8,2024-11-11,1,0,0.7
1052137441440916271,52.34825,4.88974,luxery appartement in de pijp / rai / okura,3548142,Garen,"Amsterdam, Noord-Holland, Netherlands",Private room,350.0,1,7,2024-07-07,1,270,0.83
1052199562092008352,52.34818,4.88879,Cozy apartment in Amsterdam,48658753,Jona,"Amsterdam, Noord-Holland, Netherlands",Entire home/apt,200.0,3,3,2024-07-19,1,4,0.28
1052210813234547333,52.37161,4.90391,Canal View Studio in Amsterdam City Center,5294942,Koen,"Amsterdam, Noord-Holland, Netherlands",Entire home/apt,219.0,3,10,2024-11-25,1,257,1.13
1052261066460732734,52.35894248394151,4.859970464615622,Vondelpark Apartment,99033120,Sietze,"Amsterdam, Noord-Holland, Netherlands",Entire home/apt,250.0,3,4,2024-08-18,1,16,0.57
1052725228900518539,52.3162749,4.9870736,Amsterdam Centraal in 15 minutes by metro,552247318,B,"Amsterdam, Noord-Holland, Netherlands",Private room,95.0,2,40,2024-10-20,1,169,3.57
1052791811361423875,52.3554164,4.9263939,Our spacious and cozy place in Oost,67250103,Niko,"Amsterdam, Noord-Holland, Netherlands",Entire home/apt,304.0,5,4,2024-07-13,1,1,0.35
1052843680639684974,52.37836408420194,4.885532870748326,Appartement met privé badkamer,54036035,Peter,"Amsterdam, Noord-Holland, Netherlands",Entire home/apt,200.0,3,49,2024-11-26,2,0,4.25
1052883181853088810,52.36322027329333,4.862075755757174,Entire studio on super spot. Mid/long stay avail,5679723,Marius,"Amsterdam, Noord-Holland, Netherlands",Entire home/apt,90.0,3,18,2024-10-25,1,23,2.08
1052987558193061620,52.38576399999999,4.9452823,Family home in Amsterdam-Noord,3938465,Wouter,"Amsterdam, Noord-Holland, Netherlands",Entire home/apt,190.0,4,0,2024-10-20,1,108,1.026822858420935
1053396101671935355,52.36647060549359,4.831741653824553,Spacious sunny house with sunny garden and office,27205400,Thanh,"Amsterdam, Noord-Holland, Netherlands",Entire home/apt,236.0,2,6,2024-09-29,1,247,0.72
1054838889543747073,52.3768455966876,4.89488092327881,Best Neighbourhood Apartment,552660083,Roberto,"Amsterdam, Noord-Holland, Netherlands",Entire home/apt,369.0,1,14,2024-11-21,1,178,1.25
1054877391124505900,52.355557709672254,4.910142030017819,New private studio,19010088,Maud,"Amsterdam, Noord-Holland, Netherlands",Entire home/apt,200.0,2,9,2024-10-21,1,149,1.4
1055159213924976842,52.35534,4.9076,Luxurious balcony room on Amstel canal,2212219,Guus,"Amsterdam, Noord-Holland, Netherlands",Private room,102.0,2,71,2024-11-28,1,145,6.81
